Name	Set	ImageFile	Errata	Restricted	Cycle	Pack	Release Order	Edition	Unique	Faction	Type	SubType	Cost	Terror	Combat	Arcane	Investigation	Skill	Text
Dreaming of the Past	DL	DL104 			Dreamlands	Journey to Unknown Kadath	,03-6-104	LCG		Miskatonic University	Support	Attachment. Environment.	1						Attach to a story card. Disrupt: If an opponent would claim his fifth success token on this story, place Dreaming of the Past on the bottom of your deck to prevent that success token from being claimed.
Gregory Gry, Shadow of his Former Self	DL	DL105 			Dreamlands	Journey to Unknown Kadath	,03-6-105	LCG	*	Syndicate	Character	Dreamer.	2		1			2	Action: Exhaust Gregory Gry to shuffle the top 2 cards of any discard pile back into their owner's deck.
Raking the Pot	DL	DL106 			Dreamlands	Journey to Unknown Kadath	,03-6-106	LCG		Syndicate	Event		2						Response: After an opponent plays a character, that opponent must immediately drain another domain or return that character to his hand.
Mnomquah's Serpent	DL	DL107 			Dreamlands	Journey to Unknown Kadath	,03-6-107	LCG		Cthulhu	Event	Spell.	2						Play only if it is Night. Action: Attach Mnomquah's Serpent to a character. Count as a Curse attachment with the text: "Night. Attached character cannot commit to stories. Attached character's controller must randomly discard a card from his hand at the end of each of his turns."
Mnomquah, The Moon God	DL	DL108 			Dreamlands	Journey to Unknown Kadath	,03-6-108	LCG	*	Cthulhu	Character	Ancient One.	5	2	2			4	Villainous. Toughness +2. If it is Night, Mnomquah is unaffected by all story and conspiracy card effects. Response: After you succeed at a story card to which Mnomquah is committed, discard an opponent's success token from that story.
Keeper of Dreams, Mind Breaker	DL	DL109 			Dreamlands	Journey to Unknown Kadath	,03-6-109	LCG	*	Hastur	Character	Creature. Monster. Independent.	3	2		1		3	Villainous. Action: Exhaust Keeper of Dreams to choose a character. That character loses Willpower until the end of the phase unless its controller discards 1 card at random from his hand.
Magah Bird	DL	DL110-E-R 	E	R	Dreamlands	Journey to Unknown Kadath	,03-6-110	LCG		Hastur	Character	Creature.	1					1	Fast. Response: After Magah Bird enters play, search your deck for a character named Magah Bird and put it into play.
Gug Sentinel	DL	DL111 			Dreamlands	Journey to Unknown Kadath	,03-6-111	LCG		Yog-Sothoth	Character	Gug. Monster.	3		2	1		3	Toughness +1. Response: After Gug Sentinel is wounded, choose and exhaust 1 opponent's character.
The Tower of Koth, Passage to the Underworld	DL	DL112 			Dreamlands	Journey to Unknown Kadath	,03-6-112	LCG	*	Yog-Sothoth	Support	Dreamlands. Location.	2						Response: After you succeed at a story, exhaust The Tower of Koth to choose and wound 1 Monster character.
Dhole Ant-Lion	DL	DL113 			Dreamlands	Journey to Unknown Kadath	,03-6-113	LCG		Shub-Niggurath	Character	Monster.	4	1	3			5	Toughness +5. Dhole Ant-Lion does not exhaust to commit to story cards if it has no wounds. Forced Response: At the end of each story phase, sacrifice 1 character you control or wound Dhole Ant-Lion.
Dark Contagion	DL	DL114 			Dreamlands	Journey to Unknown Kadath	,03-6-114	LCG		Shub-Niggurath	Support	Attachment. Curse.	1						Attach to a character. Response: After a [Shub-Niggurath] character you control is wounded, wound attached character.
Stealthy Zoog	DL	DL115 			Dreamlands	Journey to Unknown Kadath	,03-6-115	LCG		Neutral	Character	Zoog. Creature.	2			1		2	Response: After you drain a domain to which Stealthy Zoog is attached as a resource, unattach Stealthy Zoog from that domain and attach it to a story. (Counts as an Attachment Zoog support card with the text: "If attached story is won, its effect must resolve.")
The Cats of Ulthar	DL	DL116 			Dreamlands	Journey to Unknown Kadath	,03-6-116	LCG		Neutral	Character	Creature.	3		2			2	Fast. Action: During the Story phase, pay 3 to put The Cats of Ulthar into play from your hand, committed to a story of your choice. Action: Pay 1 to destroy 1 Zoog card in play. Then, return The Cats of Ulthar to your hand.
Nyarlathotep, The Black Pharaoh	DL	DL117-R 			Dreamlands	Journey to Unknown Kadath	,03-6-117	LCG	*	Neutral	Character	Ancient One.	4	1	1	1	1	4	Villainous. Toughness +2. During the resource phase, if an opponent wishes to attach a resource to a domain, the resource must be chosen at random from his hand. (Choose the domain first, then randomly determine the resource.)
The Light Side of the Moon	DL	DL118 			Dreamlands	Journey to Unknown Kadath	,03-6-118	LCG		Neutral	Event		3						If it is Day, the cost to play The Light Side of the Moon is 0. Response: After an opponent wins a story card, each player chooses up to 3 characters he controls. Shuffle all characters not chosen back into their owner's decks.
The Dark Side of the Moon	DL	DL119 			Dreamlands	Journey to Unknown Kadath	,03-6-119	LCG		Neutral	Event		3						If it is Night, the cost to play The Dark Side of the Moon is 0. Response: After an opponent wins a story card, each player chooses a character controlled by one of his opponents. Shuffle all chosen characters back into their owner's decks.
Unknown Kadath, Home of the Other Gods	DL	DL120			Dreamlands	Journey to Unknown Kadath	,03-6-120	LCG	*	Neutral	Support	Dreamlands. Location.	2						Action: Exhaust Unknown Kadath to choose an opponent. That opponent must choose a Day or Night card in your discard pile and return it to your hand.
Agency Medic	SoA	Soa001 			Secrets of Arkham	Deluxe 01	,04-001	LCG		Agency	Character	Government.	1					1	Disrupt: Sacrifice Agency Medic to cancel 1 wound to a character.
Paranormal Specialist	SoA	Soa002 			Secrets of Arkham	Deluxe 01	,04-002	LCG		Agency	Character	Government.	2		1			2	While it is Day, Paranormal Specialist gains "Action: Exhaust and pay 1 to choose a Villainous character. Return that character to its owner's hand."
Lightning Gun	SoA	Soa003 			Secrets of Arkham	Deluxe 01	,04-003	LCG		Agency	Support	Attachment. Artifact.	2						Attach to a character. Attached character gains C and : 
Norman Blackwood, Jr., Scholarly Detective	SoA	Soa004 			Secrets of Arkham	Deluxe 01	,04-004	LCG	*	Agency	Character	Government. Investigator.	4		2			2	Heroic. Willpower. While it is Day, Norman Blackwood, Jr. gets +2 skill and gains Fast and CCII.
Beneath the Burning Sun	SoA	Soa005 			Secrets of Arkham	Deluxe 01	,04-005	LCG		Agency	Support	Environment.	1						Day. It is Day. Forced Response: After Beneath the Burning Sun enters play, destroy all Night cards.  [Agency] characters gain a C icon.
Femme Fatale	SoA	Soa006 			Secrets of Arkham	Deluxe 01	,04-006	LCG		Agency	Character	Investigator.	2		1			2	Fast.
Scientific Text	SoA	Soa007 			Secrets of Arkham	Deluxe 01	,04-007	LCG		Miskatonic University	Support	Attachment. Item.	2						Attach to a [Miskatonic] character. While Scientific Text is ready, attached character gains A. Action: Exhaust Scientific Text to draw a card.
Visiting Professor	SoA	Soa008 			Secrets of Arkham	Deluxe 01	,04-008	LCG		Miskatonic University	Character	Government.	4				2	3	Heroic. While it is Day, Visiting Professor gets +2 skill and gains CCC.
The Necronomicon, The Book of the Mad Arab	SoA	Soa009 			Secrets of Arkham	Deluxe 01	,04-009	LCG	*	Miskatonic University	Support	Tome.	4						Action: Exhaust and pay 3 to choose a character. Take control of that character until the end of the phase.
Soothsayer	SoA	Soa010 			Secrets of Arkham	Deluxe 01	,04-010	LCG		Miskatonic University	Character	Sorcerer.	2					2	Response: After Soothsayer commits to a story, Soothsayer gains an icon of your choice until the end of the phase for each Attachment card in play.
Misinformation	SoA	Soa011 			Secrets of Arkham	Deluxe 01	,04-011	LCG		Miskatonic University	Event		0						Action: Exhaust a character you control with at least 2 I icons to choose a story. Remove up to 3 success tokens from that story.
Professor Armitage, Venerable Librarian	SoA	Soa012 			Secrets of Arkham	Deluxe 01	,04-012	LCG	*	Miskatonic University	Character	Investigator.	4				3	3	Heroic. Willpower. Action: Pay 1 to choose and ready an exhausted Tome card.
Elite Hit Squad	SoA	Soa013 			Secrets of Arkham	Deluxe 01	,04-013	LCG		Syndicate	Character	Criminal.	3		2			6	Elite Hit Squad cannot commit to stories during your opponent's turn. Action: Pay 1 to have Elite Hit Squad get +1 skill and gain C until the end of the phase.
Hired Mystic	SoA	Soa014 			Secrets of Arkham	Deluxe 01	,04-014	LCG		Syndicate	Character	Sorcerer.	3	1	1	1	1	0	
Forced Foreclosure	SoA	Soa015 			Secrets of Arkham	Deluxe 01	,04-015	LCG		Syndicate	Event		2						Play during your operations phase. Action: Attach Forced Foreclosure to a Location card. While Forced Foreclosure is attached, you gain control of attached Location.
Intimidate	SoA	Soa016 			Secrets of Arkham	Deluxe 01	,04-016	LCG		Syndicate	Event		1						Action: Choose and exhaust a non-Ancient One character.
Anarchist	SoA	Soa017 			Secrets of Arkham	Deluxe 01	,04-017	LCG		Syndicate	Character	Criminal.	2		1		1	1	Fast.
Fixer	SoA	Soa018 			Secrets of Arkham	Deluxe 01	,04-018	LCG		Syndicate	Character	Criminal.	3		2	1		2	Lower the cost for you to play Fixer by 2 (to a minimum of 1) if there is at least 1 Attachment in play.
Mi-Go Surgeon	SoA	Soa019 			Secrets of Arkham	Deluxe 01	,04-019	LCG		Shub-Niggurath	Character	Mi-Go.	3		1		1	2	All Mi-Go characters gain an A icon.
Mi-Go Commander	SoA	Soa020 			Secrets of Arkham	Deluxe 01	,04-020	LCG		Shub-Niggurath	Character	Mi-Go.	4		1	2		4	All Mi-Go characters gain a C icon.
Rampaging Dark Young	SoA	Soa021 			Secrets of Arkham	Deluxe 01	,04-021	LCG		Shub-Niggurath	Character	Servitor. Dark Young.	5		1			5	Toughness +2. Response: After Rampaging Dark Young is placed in the discard pile from play, put into play a character with printed cost 3 or lower from your hand or discard pile.
Albino Goat-spawn	SoA	Soa022 			Secrets of Arkham	Deluxe 01	,04-022	LCG		Shub-Niggurath	Character	Monster.	2		2			1	Toughness +2. Forced Response: After a Day card enters play, wound Albino Goat-Spawn.
Ageless Mi-Go	SoA	Soa023 			Secrets of Arkham	Deluxe 01	,04-023	LCG		Shub-Niggurath	Character	Mi-Go.	2			1		2	Your Mi-Go characters gain Toughness +1.
The Mother's Hand	SoA	Soa024 			Secrets of Arkham	Deluxe 01	,04-024	LCG		Shub-Niggurath	Character	Servitor. Dark Young.	3	1	1			2	Response: After you play The Mother's Hand, if you overpaid for The Mother's Hand, choose and refresh a domain.
Hydra, Mother of the Deep	SoA	Soa025 			Secrets of Arkham	Deluxe 01	,04-025	LCG	*	Cthulhu	Character	Ancient One.	5	2	3			5	Villainous. Toughness +2. Action: Pay 2 to choose a Deep One character in your discard pile and put it into play.
Lord of Y'ha-nthlei	SoA	Soa026 			Secrets of Arkham	Deluxe 01	,04-026	LCG		Cthulhu	Character	Deep One.	3		2	1		2	Action: Pay 1 to choose and ready a Deep One character.
Primal Fear	SoA	Soa027 			Secrets of Arkham	Deluxe 01	,04-027	LCG		Cthulhu	Event		1						Action: Choose a character without any T icons. Until the end of the phase, treat that character’s text box as though it were blank.
Carl Stanford, Deathless Fanatic	SoA	Soa028 			Secrets of Arkham	Deluxe 01	,04-028	LCG	*	Cthulhu	Character	Sorcerer.	3	1	1			3	Invulnerability. Action: Sacrifice a Cultist character or Mask card to have Carl Stanford gain CCAA until the end of the phase.
Deep One Rising	SoA	Soa029 			Secrets of Arkham	Deluxe 01	,04-029	LCG		Cthulhu	Character	Deep One.	4		2	1		4	Forced Response: After you play Deep One Rising, choose and destroy a non-Deep One non-Ancient One character, if able.
Giving Thanks	SoA	Soa030 			Secrets of Arkham	Deluxe 01	,04-030	LCG		Cthulhu	Support	Attachment. Environment.	1						Attach to a story card. Response: After attached story card is won, ready all Deep One characters you control.
Things in the Ground	SoA	Soa031-E 	E		Secrets of Arkham	Deluxe 01	,04-031	LCG		Yog-Sothoth	Support	Environment.	2						Action: Exhaust Things in the Ground to discard the top 2 cards of each player's deck. Any characters that would be discarded by this effect are instead put into play insane.
Calling Down the Ancients	SoA	Soa032 			Secrets of Arkham	Deluxe 01	,04-032	LCG		Yog-Sothoth	Event	Spell.	2						Action: Choose and destroy a character with the lowest skill.
Gatekeeper	SoA	Soa033 			Secrets of Arkham	Deluxe 01	,04-033	LCG		Yog-Sothoth	Character	Sorcerer.	4	1	1	1		3	Toughness +1. Response: After you win an icon struggle by at least 2 icons, pay 2 to choose an opponent. That opponent must discard the top 3 cards of his deck.
Hermetic Scholar	SoA	Soa034 			Secrets of Arkham	Deluxe 01	,04-034	LCG		Yog-Sothoth	Character	Cultist.	3		2	1		3	Forced Response: After Hermetic Scholar enters play, each player must discard the top 4 cards of his deck.
Chant of Thoth	SoA	Soa035 			Secrets of Arkham	Deluxe 01	,04-035	LCG		Yog-Sothoth	Event	Spell.	1						Action: Choose up to 3 Spell or Artifact cards in your discard pile. Until the end of the phase, you may play those cards as though you were playing them from your hand. If any of the chosen cards are event cards, put them on the bottom of your deck instead of your discard pile after playing them.
Wizard of Yog-Sothoth	SoA	Soa036 			Secrets of Arkham	Deluxe 01	,04-036	LCG		Yog-Sothoth	Character	Cultist.	3		2			2	Villainous. While it is Night, Wizard of Yog-Sothoth gains TAA and Toughness +1.
Poltergeist	SoA	Soa037-E 	E		Secrets of Arkham	Deluxe 01	,04-037	LCG		Hastur	Character	Monster.	2	2				2	Poltergeist cannot commit to stories. Insane characters you control do not restore. Action: Pay 2 to give control of Poltergeist to any opponent.
Carcosa, Palace of the Tattered King	SoA	Soa038 			Secrets of Arkham	Deluxe 01	,04-038	LCG	*	Hastur	Support	Location.	3						Action: Exhaust and pay 2 to choose a player. That player must either choose and discard 1 card from his hand or discard the top 5 cards of his deck.
Messenger from Hali	SoA	Soa039 			Secrets of Arkham	Deluxe 01	,04-039	LCG		Hastur	Character	Servitor.	3		2	1		3	Night. It is Night. Forced Response: After Messenger from Hali enters play, destroy all Day cards in play.
Writhing Wall	SoA	Soa040 			Secrets of Arkham	Deluxe 01	,04-040	LCG		Hastur	Event	Spell.	3						Disrupt: Cancel a triggered effect. Then, draw a card.
Infected by Madness	SoA	Soa041 			Secrets of Arkham	Deluxe 01	,04-041	LCG		Hastur	Event		1						Action: Each player discards the top card of his deck for each insane character he controls.
Implant Fear	SoA	Soa042 			Secrets of Arkham	Deluxe 01	,04-042	LCG		Hastur	Event	Spell.	4						Play during your operations phase. Action: Choose an opponent. That opponent discards his hand. Then, he chooses up to 2 cards from his discard pile and puts them into his hand.
Feint	SoA	Soa043 			Secrets of Arkham	Deluxe 01	,04-043	LCG		Neutral	Event		0						Action: Choose a character. That character gets -2 skill and loses a C icon until the end of this phase.
Diseased Sewer Rats	SoA	Soa044-R 		R	Secrets of Arkham	Deluxe 01	,04-044	LCG		Neutral	Character	Creature.	2		1			1	Forced Response: After you play Diseased Sewer Rats, choose a character with skill 2 or lower. Wound that character.
Magnifying Glass	SoA	Soa045 			Secrets of Arkham	Deluxe 01	,04-045	LCG		Neutral	Support	Attachment. Item.	1						Attach to a character. Attached character gains I.
Azathoth, The Blind Idiot God	SoA	Soa046 			Secrets of Arkham	Deluxe 01	,04-046	LCG	*	Neutral	Character	Ancient One.	6					6	Response: After Azathoth enters play, each player must sacrifice all characters not named Azathoth and all support cards he controls. At the end of the turn, you are eliminated from the game.
Seeker of Mysteries	SoA	Soa047 			Secrets of Arkham	Deluxe 01	,04-047	LCG		Neutral	Character	Cultist.	1			1		1	Lower the cost for you to play characters with a printed cost of 5 or higher by 1 (to a minimum of 1).
The Greatest Fear	SoA	Soa048 			Secrets of Arkham	Deluxe 01	,04-048	LCG		Neutral	Event	Disaster. Madness.	1						Response: After a character goes insane, its controller discards 2 cards at random from his hand. Then, for each event or support card thus discarded, you may place 1 success token on a story.
Terrors in the Dark	SoA	Soa049 			Secrets of Arkham	Deluxe 01	,04-049	LCG		Neutral	Support	Environment.	2						Night. It is Night. Forced Response: After you play this card, destroy all Day cards in play. Response: After an opponent plays a card from his hand, he must discard the top card of his deck.
Dimensional Rift	SoA	Soa050 			Secrets of Arkham	Deluxe 01	,04-050	LCG		Neutral	Support	Location.	4						Action: Exhaust, pay 3 and sacrifice Dimensional Rift to destroy all characters and support cards in play.
James Logan, Ready for Anything	TYC	Ttyc001			Yuggoth Contract	Whispers in the Dark	,05-1-001	LCG	*	Agency	Character	Independent.	5		3	1		5	Heroic. Willpower. Toughness +1. Response: After James Logan enters play, search your deck for up to two Attachment support cards and put them into play attached to him. Then, shuffle your deck.
Flanking Maneuver	TYC	Ttyc002			Yuggoth Contract	Whispers in the Dark	,05-1-002	LCG		Agency	Event	Tactic.	2						Action: Exhaust two characters, each with at least C, to choose and destroy a non-Ancient One character.
Backwater Deep One	TYC	Ttyc003			Yuggoth Contract	Whispers in the Dark	,05-1-003	LCG		Cthulhu	Character	Deep One.	3		2	1		2	Toughness +1.
Brood of Yig	TYC	Ttyc004			Yuggoth Contract	Whispers in the Dark	,05-1-004	LCG		Cthulhu	Character	Serpent. Cultist.	2	2				2	Action: Pay 1 to change one of Brood of Yig's T icons into C until the end of the phase.
Crazed Arsonist	TYC	Ttyc005			Yuggoth Contract	Whispers in the Dark	,05-1-005	LCG		Hastur	Character	Cultist. Lunatic.	3		1			2	Action: Drive Crazed Arsonist insane to choose and destroy a Location support card.
Nightstalker	TYC	Ttyc006			Yuggoth Contract	Whispers in the Dark	,05-1-006	LCG		Hastur	Character	Monster.	3	2		1		3	0
The Sirens of Hell	TYC	Ttyc007			Yuggoth Contract	Whispers in the Dark	,05-1-007	LCG		Hastur	Event	Madness.	0						Response: After a character goes insane, destroy that insane character.
Focused Art Student	TYC	Ttyc008			Yuggoth Contract	Whispers in the Dark	,05-1-008	LCG		Miskatonic University	Character	Student.	2			1	1	2	Loyal. Response: After Focused Art Student enters play, draw 1 card.
Perpetual Silence	TYC	Ttyc009			Yuggoth Contract	Whispers in the Dark	,05-1-009	LCG		Miskatonic University	Event		3						Action: All characters in play lose their printed icons until the end of the phase.
The Locked Door	TYC	Ttyc010.png			Yuggoth Contract	Whispers in the Dark	,05-1-010	LCG		Neutral	Conspiracy		0	1	1	1	2		Each of your characters committed to this story gains I.
The Red-Gloved Man, He Was Never There	TYC	Ttyc011			Yuggoth Contract	Whispers in the Dark	,05-1-011	LCG	*	Neutral	Character	Conspirator. Independent.	3		1	1	1	3	Willpower. Response: After The Red-Gloved Man enters play, search your deck for a conspiracy story card and put it into play. Then, shuffle your deck.
The Yuggoth Contract, Nefarious Pact	TYC	Ttyc012			Yuggoth Contract	Whispers in the Dark	,05-1-012	LCG	*	Neutral	Support	Attachment. Item.	1						Attach to a character you control. Attached character gains "Action: Pay 1 and sacrifice a character to draw 2 cards."
Ferocious Dark Young	TYC	Ttyc013			Yuggoth Contract	Whispers in the Dark	,05-1-013	LCG		Shub-Niggurath	Character	Dark Young. Servitor.	3	1	1			2	Response: After Ferocious Dark Young enters play, put another copy of Ferocious Dark Young into play from your discard pile.
Empty Sockets	TYC	Ttyc014			Yuggoth Contract	Whispers in the Dark	,05-1-014	LCG		Shub-Niggurath	Support	Attachment.	2						Attach to a character. Attached character loses CCII and gains TT.
Tyler Scindere, Bounty Hunter	TYC	Ttyc015			Yuggoth Contract	Whispers in the Dark	,05-1-015	LCG	*	Syndicate	Character	Criminal. Independent.	4		2	1	1	5	Heroic. Villainous. Willpower. Toughness +1. You can have both Heroic and Villainous characters in play at the same time.
Want Ads	TYC	Ttyc016			Yuggoth Contract	Whispers in the Dark	,05-1-016	LCG		Syndicate	Support	Attachment. Item.	0						Attach to an opponent's character. Forced Response: After attached character is put into its owner's discard pile, draw 2 cards.
The Laundromat, More Than It Seems	TYC	Ttyc017			Yuggoth Contract	Whispers in the Dark	,05-1-017	LCG	*	Syndicate	Support	Location.	2						Action: Pay 2 and place a card from your hand to the bottom of your deck to draw 1 card.
Hunting Nightgaunt	TYC	Ttyc018			Yuggoth Contract	Whispers in the Dark	,05-1-018	LCG		Yog-Sothoth	Character	Monster. Servitor.	3		1	1		2	If it is Night, neutral characters cannot commit to stories.
Casting off the Skin	TYC	Ttyc019			Yuggoth Contract	Whispers in the Dark	,05-1-019	LCG		Yog-Sothoth	Event	Spell.	2						Action: Choose one of your characters committed to a story. That character gains TC for each character committed to that story until the end of the phase.
Speak to the Dead	TYC	Ttyc020-R		R	Yuggoth Contract	Whispers in the Dark	,05-1-020	LCG		Yog-Sothoth	Event	Spell.	3						Action: Discard the top 4 cards of your deck. Then, add any 2 cards from your discard pile to your hand.
Machete	TYC	Ttyc021			Yuggoth Contract	Murmurs of Evil	,05-2-021	LCG		Agency	Support	Attachment. Weapon.	1						Attach to a character you control. Action: Exhaust Machete to give attached character Fast and CC until the end of the phase.
Apprentice Monster Hunter	TYC	Ttyc022			Yuggoth Contract	Murmurs of Evil	,05-2-022	LCG		Agency	Character	Sorcerer.	2		1			2	Action: Sacrifice Apprentice Monster Hunter to choose and wound a Monster character with printed skill 3 or lower.
Shrine to Yig, Worship of an Ancient Evil	TYC	Ttyc023			Yuggoth Contract	Murmurs of Evil	,05-2-023	LCG	*	Cthulhu	Support	Location.	2						Your Serpent characters gain T.
Ravenous Piranhas	TYC	Ttyc024			Yuggoth Contract	Murmurs of Evil	,05-2-024	LCG		Cthulhu	Character	Creature.	3		3			2	Fast.
Feathered Serpent	TYC	Ttyc025			Yuggoth Contract	Murmurs of Evil	,05-2-025	LCG		Cthulhu	Character	Serpent. Monster.	4	3				3	Action: Change one of Feathered Serpent's T icons into CA until the end of the phase.
Obsessive Playwright	TYC	Ttyc026			Yuggoth Contract	Murmurs of Evil	,05-2-026	LCG		Hastur	Character	Cultist. Lunatic.	2			2		2	Action: Drive Obsessive Playwright insane to return a Tome or Artifact support card from your discard pile to your hand.
Harbinger of Insanity	TYC	Ttyc027			Yuggoth Contract	Murmurs of Evil	,05-2-027	LCG		Hastur	Character	Servitor.	3	2				2	Action: Sacrifice a Cultist character to take control of a character with printed skill 2 or lower until the end of the phase.
Erin Moirai, Biology Student	TYC	Ttyc028			Yuggoth Contract	Murmurs of Evil	,05-2-028	LCG	*	Miskatonic University	Character	Student.	3			1	2	2	Response: After you play Erin Moirai, choose and ready an exhausted character or support card.
Searching the Reserves	TYC	Ttyc029			Yuggoth Contract	Murmurs of Evil	,05-2-029	LCG		Miskatonic University	Event		0						Action: Exhaust a [Miskatonic] character to return an Artifact or Tome support card from your discard pile to your hand.
The Painted Corpse	TYC	Ttyc030.png			Yuggoth Contract	Murmurs of Evil	,05-2-030	LCG		Neutral	Conspiracy		0	1	1	2	1		Each of your characters committed to this story gains A.
Tattoo Parlor	TYC	Ttyc031			Yuggoth Contract	Murmurs of Evil	,05-2-031	LCG		Neutral	Support	Location.	2						Your Cultist characters gain A.
Crowbar	TYC	Ttyc032			Yuggoth Contract	Murmurs of Evil	,05-2-032	LCG		Neutral	Support	Attachment. Item.	1						Attach to a character you control. Action: Exhaust attached character and return Crowbar to your hand to wound a character with skill 1 or lower.
Mi-Go Caretaker	TYC	Ttyc033			Yuggoth Contract	Murmurs of Evil	,05-2-033	LCG		Shub-Niggurath	Character	Mi-Go.	2			1		1	Your Mi-Go characters get +1 skill.
Specimen Room	TYC	Ttyc034			Yuggoth Contract	Murmurs of Evil	,05-2-034	LCG		Shub-Niggurath	Support	Location.	2						Your Mi-Go characters get +1 skill for each face down card attached to Specimen Room. Action: Exhaust Specimen Room to take a character card in your opponent’s discard pile and attach it face down to this card as a blank Attachment support card.
Mi-Go Brain Cylinder	TYC	Ttyc035			Yuggoth Contract	Murmurs of Evil	,05-2-035	LCG		Shub-Niggurath	Support	Artifact.	0						Action: Exhaust a Mi-Go character to look at the top X cards of your deck and return them in any order. X is equal to that character’s skill.
Veronica Frost, Elegant but Deadly	TYC	Ttyc036			Yuggoth Contract	Murmurs of Evil	,05-2-036	LCG	*	Syndicate	Character	Independent.	2		2			2	Response: After Veronica Frost is committed to a story, choose another one of your characters committed to that story. That character is immune to triggered effects until the end of the phase.
Tattoo Artist	TYC	Ttyc037			Yuggoth Contract	Murmurs of Evil	,05-2-037	LCG		Syndicate	Character	Sorcerer. Artist.	2			2		2	Response: After Tattoo Artist is committed to a story, choose a character. That character gets +2 or -2 skill until the end of the phase.
Trophy Room	TYC	Ttyc038			Yuggoth Contract	Murmurs of Evil	,05-2-038	LCG		Syndicate	Support	Location.	2						Action: Exhaust Trophy Room to attach a character card from a player’s discard pile face down to it as a blank Attachment support card. Action: Exhaust Trophy Room to have a character get +1 skill for each face down card attached to it.
Crazed Shoggoth	TYC	Ttyc039			Yuggoth Contract	Murmurs of Evil	,05-2-039	LCG		Yog-Sothoth	Character	Monster.	3	1	2	1		3	Toughness +1. At the beginning of your story phase, Crazed Shoggoth must commit to a story chosen by your opponent, if able.
Cursed Skull	TYC	Ttyc040			Yuggoth Contract	Murmurs of Evil	,05-2-040	LCG		Yog-Sothoth	Support	Artifact. Item.	1						Action: Pay 1 and sacrifice Cursed Skull to choose an opponent. That opponent must sacrifice a character.
Museum Security	TYC	Ttyc041			Yuggoth Contract	Spoken Covenant	,05-3-041	LCG		Agency	Character	Faculty.	2		2			3	
Intervention	TYC	Ttyc042			Yuggoth Contract	Spoken Covenant	,05-3-042	LCG		Agency	Event	Encounter.	2						If your opponent has put a character into play due to a card effect this turn, reduce the cost to play Intervention by 2. Action: Put Intervention into play as an Investigator character with 3 skill, Willpower, and CCI. At the end of the phase, sacrifice Intervention.
Priest of Two Faiths	TYC	Ttyc043			Yuggoth Contract	Spoken Covenant	,05-3-043	LCG		Agency	Character	Independent.	4			2		4	Response: After Priest of Two Faiths commits to a story, choose an opponent's non-Ancient One character committed to the same story. That character does not count its icons until the end of the phase.
Labyrinth of a Dead City	TYC	Ttyc044			Yuggoth Contract	Spoken Covenant	,05-3-044	LCG		Cthulhu	Support	Environment. Attachment.	2						Attach to a story card. Characters with printed skill 1 or lower cannot commit to this story.
Stygian Idol	TYC	Ttyc045			Yuggoth Contract	Spoken Covenant	,05-3-045	LCG		Cthulhu	Support	Attachment. Artifact.	1						Attach to a Serpent character. Attached character gains TT Action: Exhaust Stygian Idol to lower the cost of the next Serpent character you play this phase by 1 (to a minimum of 1).
Hastur, Lord of Carcosa	TYC	Ttyc046			Yuggoth Contract	Spoken Covenant	,05-3-046	LCG	*	Hastur	Character	Ancient One.	6	4		1		7	Villainous. Toughness +3. Action: pay 2 to have all of your opponent's characters lose Willpower and all T icons until the end of the phase.
The Yellow Sign	TYC	Ttyc047			Yuggoth Contract	Spoken Covenant	,05-3-047	LCG		Hastur	Event	Madness. Spell.	1						Action: Choose a character. That character gains TTTA until the end of the phase.
Swooping Byakhee	TYC	Ttyc048			Yuggoth Contract	Spoken Covenant	,05-3-048	LCG		Hastur	Character	Servitor.	3		2	1		2	Fast. Forced Response: After Swooping Byakhee enters play, each opponent must choose and discard 1 card from his hand.
Broken Glasses	TYC	Ttyc049			Yuggoth Contract	Spoken Covenant	,05-3-049	LCG		Miskatonic University	Support	Attachment. Item.	0						Attach to a character. Attached character loses II.
Under the Microscope	TYC	Ttyc050			Yuggoth Contract	Spoken Covenant	,05-3-050	LCG		Miskatonic University	Event		1						Play before committing characters to stories during your story phase. Action: During all I struggles this turn, the player who wins this struggle may choose and ready a character committed to the story for each I icon he won the struggle by.
M.U. Chem Lab	TYC	Ttyc051			Yuggoth Contract	Spoken Covenant	,05-3-051	LCG		Miskatonic University	Support	Location.	2						Action: Pay 1 to have all Student characters gain I until the end of the phase.
The Guardian of the Key	TYC	Ttyc052.png			Yuggoth Contract	Spoken Covenant	,05-3-052	LCG		Neutral	Conspiracy		0	1	2	1	1		Each of your characters committed to this story gains C.
Drunken Hallucinations	TYC	Ttyc053			Yuggoth Contract	Spoken Covenant	,05-3-053	LCG		Neutral	Event		1						Action: Drive a character you control insane to put into play from your hand a Monster character with printed cost 3 or less. Sacrifice that Monster character at the end of the phase.
Mi-Go Laboratory	TYC	Ttyc054			Yuggoth Contract	Spoken Covenant	,05-3-054	LCG		Shub-Niggurath	Support	Location.	2						Action: Exhaust Mi-Go Laboratory and sacrifice a non-Mi-Go character to give all Mi-Go characters +2 skill and A until the end of the phase.
Mi-Go Guard	TYC	Ttyc055			Yuggoth Contract	Spoken Covenant	,05-3-055	LCG		Shub-Niggurath	Character	Mi-Go.	3		1			2	Mi-Go Guard gains C for each Mi-Go character in play.
